Comb version 0.3.1
Args  ./comb;512_512_512;-divide;2_2_1;-periodic;1_1_1;-ghost;8_8_8;-vars;3;-comm;cutoff;500000;-comm;enable;mpi;-comm;post_recv;wait_all;-comm;post_send;wait_all;-comm;wait_recv;wait_all;-comm;wait_send;wait_all;-exec;enable;omp;-print_message_sizes;-print_packing_sizes
Started rank 0 of 4
Node cm4r15c06s05
Compiler "/dss/lrzsys/sys/spack/release/24.4.0/opt/x86_64/intel-oneapi-mpi/2021.16.0-gcc-aa2ay3m/mpi/2021.16/bin/mpicxx"
OMP num threads     4
OMP thread map    113;0;112;1
Cart coords         0        0        0
Message policy cutoff 500000
Post Recv using wait_all method
Post Send using wait_all method
Wait Recv using wait_all method
Wait Send using wait_all method
Num cycles          5
Num vars            3
ghost_widths        8        8        8
sizes             512      512      512
divisions           2        2        1
periodic            1        1        1
division map
map                 0        0        0
map               256      256      512
map               512      512         
print message and packing sizes to proc file(s)
Starting test memcpy seq dst Host src Host
                      ,    number,  average(s),      min(s),      max(s)
copy_sync-3-39063552-8,        20, 0.168315472, 0.165840907, 0.173236710
Starting test memcpy omp dst Host src Host
                      ,    number,  average(s),      min(s),      max(s)
copy_sync-3-39063552-8,        20, 0.065475379, 0.063140919, 0.067160584
Starting test Comm mock Mesh seq Host Buffers seq Host seq Host
          ,    number,  average(s),      min(s),      max(s)
pre-comm  ,        20, 0.095478767, 0.094306351, 0.096378049
post-recv ,        20, 0.000088622, 0.000019668, 0.000302050
post-send ,        20, 0.049934944, 0.049336477, 0.050617280
wait-recv ,        20, 0.042631914, 0.041682059, 0.044073934
wait-send ,        20, 0.000601630, 0.000505546, 0.000709299
post-comm ,        20, 0.105592169, 0.104969229, 0.106638082
start-up  ,         4, 0.151225522, 0.149756994, 0.154280787
test-comm ,         4, 0.914602070, 0.914596381, 0.914607912
bench-comm,         4, 1.481670199, 1.481656345, 1.481683448
Starting test Comm mock Mesh omp Host Buffers seq Host seq Host
          ,    number,  average(s),      min(s),      max(s)
pre-comm  ,        20, 0.036968104, 0.036127532, 0.037993916
post-recv ,        20, 0.000101366, 0.000021092, 0.000325687
post-send ,        20, 0.051341113, 0.050271309, 0.052106787
wait-recv ,        20, 0.043137313, 0.041988089, 0.044721832
wait-send ,        20, 0.000698461, 0.000605046, 0.000756286
post-comm ,        20, 0.040826105, 0.039507002, 0.046066715
start-up  ,         4, 0.085995469, 0.083376504, 0.088027407
test-comm ,         4, 0.824989567, 0.824983177, 0.824995475
bench-comm,         4, 0.880078637, 0.880069548, 0.880088052
Starting test Comm mock Mesh omp Host Buffers omp Host seq Host
          ,    number,  average(s),      min(s),      max(s)
pre-comm  ,        20, 0.036435533, 0.035595258, 0.037179944
post-recv ,        20, 0.000106163, 0.000023864, 0.000349346
post-send ,        20, 0.034439827, 0.029869178, 0.039645764
wait-recv ,        20, 0.030297279, 0.028990570, 0.032362359
wait-send ,        20, 0.001166789, 0.000851508, 0.001938496
post-comm ,        20, 0.040755195, 0.038317680, 0.042874564
start-up  ,         4, 0.081537295, 0.078667450, 0.085325073
test-comm ,         4, 0.803731340, 0.803728805, 0.803733747
bench-comm,         4, 0.732621152, 0.732610300, 0.732632183
Starting test Comm mock Mesh omp Host Buffers omp Host omp Host
          ,    number,  average(s),      min(s),      max(s)
pre-comm  ,        20, 0.036566047, 0.036172099, 0.037152834
post-recv ,        20, 0.000028908, 0.000021950, 0.000041307
post-send ,        20, 0.031214109, 0.029665768, 0.032719889
wait-recv ,        20, 0.028374019, 0.027287841, 0.029532381
wait-send ,        20, 0.001103954, 0.000888099, 0.001604910
post-comm ,        20, 0.041521200, 0.039729518, 0.044240727
start-up  ,         4, 0.079680809, 0.078057108, 0.083344298
test-comm ,         4, 0.793046473, 0.793042321, 0.793050302
bench-comm,         4, 0.696616508, 0.696613895, 0.696619938
Starting test Comm mpi Mesh seq Host Buffers seq Host seq Host
          ,    number,  average(s),      min(s),      max(s)
pre-comm  ,        20, 0.094114075, 0.093011271, 0.095735969
post-recv ,        20, 0.000028520, 0.000020842, 0.000043493
post-send ,        20, 0.050500519, 0.047855907, 0.055418126
wait-recv ,        20, 0.074827385, 0.070649397, 0.081406501
wait-send ,        20, 0.000403895, 0.000280530, 0.000723996
post-comm ,        20, 0.103929303, 0.102881692, 0.105224133
start-up  ,         4, 0.147546092, 0.144868918, 0.150699386
test-comm ,         4, 1.604159254, 1.604158164, 1.604160138
bench-comm,         4, 1.632934446, 1.632929253, 1.632939372
Starting test Comm mpi Mesh omp Host Buffers seq Host seq Host
          ,    number,  average(s),      min(s),      max(s)
pre-comm  ,        20, 0.036598628, 0.035848723, 0.037217934
post-recv ,        20, 0.000027892, 0.000023405, 0.000036923
post-send ,        20, 0.049882285, 0.048183309, 0.051399557
wait-recv ,        20, 0.072580717, 0.069274147, 0.076297637
wait-send ,        20, 0.000385732, 0.000272678, 0.000614704
post-comm ,        20, 0.040413423, 0.039341319, 0.045010897
start-up  ,         4, 0.081262372, 0.077741513, 0.082920132
test-comm ,         4, 0.862098533, 0.862097595, 0.862099723
bench-comm,         4, 1.007061507, 1.007058440, 1.007063524
