Comb version 0.3.1
Args  ./comb;512_512_512;-divide;2_2_1;-periodic;1_1_1;-ghost;8_8_8;-vars;3;-comm;cutoff;250;-comm;enable;mpi;-comm;post_recv;wait_all;-comm;post_send;wait_all;-comm;wait_recv;test_all;-comm;wait_send;test_all;-exec;enable;omp;-print_message_sizes;-print_packing_sizes
Started rank 0 of 4
Node cm4r15c06s05
Compiler "/dss/lrzsys/sys/spack/release/24.4.0/opt/x86_64/intel-oneapi-mpi/2021.16.0-gcc-aa2ay3m/mpi/2021.16/bin/mpicxx"
OMP num threads     1
OMP thread map    112
Cart coords         0        0        0
Message policy cutoff 250
Post Recv using wait_all method
Post Send using wait_all method
Wait Recv using test_all method
Wait Send using test_all method
Num cycles          5
Num vars            3
ghost_widths        8        8        8
sizes             512      512      512
divisions           2        2        1
periodic            1        1        1
division map
map                 0        0        0
map               256      256      512
map               512      512         
print message and packing sizes to proc file(s)
Starting test memcpy seq dst Host src Host
                      ,    number,  average(s),      min(s),      max(s)
copy_sync-3-39063552-8,        20, 0.181769824, 0.168122711, 0.197034206
Starting test memcpy omp dst Host src Host
                      ,    number,  average(s),      min(s),      max(s)
copy_sync-3-39063552-8,        20, 0.182039594, 0.164862873, 0.197985408
Starting test Comm mock Mesh seq Host Buffers seq Host seq Host
          ,    number,  average(s),      min(s),      max(s)
pre-comm  ,        20, 0.101227048, 0.095427745, 0.110348596
post-recv ,        20, 0.000097783, 0.000020724, 0.000329081
post-send ,        20, 0.052720415, 0.049734828, 0.058902744
wait-recv ,        20, 0.045007521, 0.041934320, 0.050642911
wait-send ,        20, 0.000648006, 0.000529990, 0.000771394
post-comm ,        20, 0.111357875, 0.105632612, 0.122557440
start-up  ,         4, 0.161670944, 0.151523506, 0.171798553
test-comm ,         4, 1.005317809, 1.005315679, 1.005320106
bench-comm,         4, 1.645249906, 1.645249019, 1.645250739
Starting test Comm mock Mesh omp Host Buffers seq Host seq Host
          ,    number,  average(s),      min(s),      max(s)
pre-comm  ,        20, 0.102232289, 0.095523182, 0.109273809
post-recv ,        20, 0.000033411, 0.000019252, 0.000053698
post-send ,        20, 0.054544857, 0.050109298, 0.058976439
wait-recv ,        20, 0.046350097, 0.041858305, 0.051285864
wait-send ,        20, 0.000828590, 0.000662210, 0.000987335
post-comm ,        20, 0.112860049, 0.105711838, 0.120529902
start-up  ,         4, 0.162540803, 0.151778370, 0.174224387
test-comm ,         4, 1.700281609, 1.700277844, 1.700285623
bench-comm,         4, 1.697960489, 1.697955428, 1.697965258
Starting test Comm mock Mesh omp Host Buffers omp Host seq Host
          ,    number,  average(s),      min(s),      max(s)
pre-comm  ,        20, 0.102186874, 0.095348856, 0.109457902
post-recv ,        20, 0.000034593, 0.000018509, 0.000056040
post-send ,        20, 0.054707878, 0.050408422, 0.060692341
wait-recv ,        20, 0.046243994, 0.041601758, 0.050802811
wait-send ,        20, 0.000829963, 0.000655830, 0.000988703
post-comm ,        20, 0.112834466, 0.105568311, 0.120484113
start-up  ,         4, 0.169758308, 0.157369121, 0.182737109
test-comm ,         4, 1.704317215, 1.704309346, 1.704325354
bench-comm,         4, 1.702159619, 1.702157161, 1.702161798
Starting test Comm mock Mesh omp Host Buffers omp Host omp Host
          ,    number,  average(s),      min(s),      max(s)
pre-comm  ,        20, 0.102293777, 0.095483279, 0.109460855
post-recv ,        20, 0.000034335, 0.000020087, 0.000056230
post-send ,        20, 0.054624606, 0.050353803, 0.059392947
wait-recv ,        20, 0.046201722, 0.041409459, 0.050734217
wait-send ,        20, 0.000840181, 0.000702545, 0.000982141
post-comm ,        20, 0.112865615, 0.105685018, 0.120530243
start-up  ,         4, 0.170096452, 0.159926532, 0.182228206
test-comm ,         4, 1.716227691, 1.716220936, 1.716234751
bench-comm,         4, 1.702586976, 1.702580563, 1.702593079
Starting test Comm mpi Mesh seq Host Buffers seq Host seq Host
          ,    number,  average(s),      min(s),      max(s)
pre-comm  ,        20, 0.101147696, 0.094170773, 0.109081916
post-recv ,        20, 0.000032601, 0.000021538, 0.000054211
post-send ,        20, 0.052414015, 0.048004044, 0.057792757
wait-recv ,        20, 0.097341852, 0.075933957, 0.123520276
wait-send ,        20, 0.000341490, 0.000278953, 0.000393656
post-comm ,        20, 0.111499865, 0.104077208, 0.119730567
start-up  ,         4, 0.155669487, 0.145693817, 0.167623697
test-comm ,         4, 1.758170626, 1.758170395, 1.758170917
bench-comm,         4, 1.841786032, 1.841785622, 1.841786264
Starting test Comm mpi Mesh omp Host Buffers seq Host seq Host
          ,    number,  average(s),      min(s),      max(s)
pre-comm  ,        20, 0.102871232, 0.095719158, 0.110388414
post-recv ,        20, 0.000031910, 0.000021130, 0.000052556
post-send ,        20, 0.052680997, 0.048457655, 0.057010382
wait-recv ,        20, 0.097020674, 0.077156420, 0.120801279
wait-send ,        20, 0.000359972, 0.000294591, 0.000516082
post-comm ,        20, 0.113543972, 0.105992893, 0.121627207
start-up  ,         4, 0.156609043, 0.145678433, 0.168574887
test-comm ,         4, 1.752552732, 1.752548355, 1.752555998
bench-comm,         4, 1.858745394, 1.858744256, 1.858746167
Starting test Comm mpi Mesh omp Host Buffers omp Host seq Host
          ,    number,  average(s),      min(s),      max(s)
pre-comm  ,        20, 0.102619559, 0.095744298, 0.110681929
post-recv ,        20, 0.000031910, 0.000021134, 0.000049645
post-send ,        20, 0.052229268, 0.048029354, 0.057767375
wait-recv ,        20, 0.096063407, 0.078379236, 0.121734168
wait-send ,        20, 0.000350389, 0.000297621, 0.000510802
post-comm ,        20, 0.112693813, 0.106058999, 0.121430432
start-up  ,         4, 0.168933931, 0.157967037, 0.181181476
test-comm ,         4, 1.751668148, 1.751656989, 1.751679552
bench-comm,         4, 1.839068640, 1.839056870, 1.839079911
Starting test Comm mpi Mesh omp Host Buffers omp Host omp Host
          ,    number,  average(s),      min(s),      max(s)
pre-comm  ,        20, 0.100047621, 0.095523140, 0.104740297
post-recv ,        20, 0.000026541, 0.000020417, 0.000033449
post-send ,        20, 0.051400589, 0.048010956, 0.054842185
wait-recv ,        20, 0.086979864, 0.072915229, 0.102583539
wait-send ,        20, 0.000345124, 0.000295933, 0.000431116
post-comm ,        20, 0.110451155, 0.105927325, 0.115252274
start-up  ,         4, 0.165737673, 0.157090012, 0.174433746
test-comm ,         4, 1.742241525, 1.742240449, 1.742242452
bench-comm,         4, 1.764042228, 1.764041226, 1.764043300
